habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,ubicacion,precio
3.0,4.0,2,117,0,5,508547009.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,728,595000000.0
4.0,4.0,2,160,0,4,6562500.0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,677,1050000000.0
2.0,2.0,2,77,0,6,1025974026.0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,162,790000000.0
3.0,4.0,3,200,185,6,9500000.0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,647,1900000000.0
3.0,2.0,1,88,88,6,6250000.0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,123,550000000.0
3.0,2.0,1,100,100,3,4150000.0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,8,415000000.0
2.0,2.0,2,191,191,6,602094241.0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,245,1150000000.0
3.0,3.0,3,130,130,5,423076923.0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,198,550000000.0
4.0,4.0,1,163,163,4,294478528.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,480000000.0
3.0,2.0,0,77,77,4,493506494.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,300,380000000.0
3.0,2.0,1,84,76,3,414285714.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,527,348000000.0
2.0,3.0,2,122,122,6,1008196721.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,162,1230000000.0
2.0,2.0,0,49,49,3,426530612.0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,83,209000000.0
2.0,4.0,2,290,290,6,672413793.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,345,1950000000.0
3.0,2.0,2,84,0,4,535714286.0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,198,450000000.0
3.0,2.0,1,73,0,3,410958904.0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,719,300000000.0
2.0,2.0,2,73,68,4,780821918.0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,356,570000000.0
2.0,2.0,1,68,0,5,617647059.0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,250,420000000.0
2.0,3.0,2,91,0,5,879120879.0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,650,800000000.0
2.0,2.0,1,70,70,5,828571429.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,235,580000000.0
4.0,5.0,2,345,338,6,1086956522.0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,245,3750000000.0
3.0,2.0,1,72,72,4,444444444.0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,663,320000000.0
3.0,3.0,2,92,92,6,679347826.0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,577,625000000.0
2.0,2.0,1,92,92,4,652173913.0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,137,600000000.0
2.0,2.0,2,131,131,4,671755725.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,426,880000000.0
3.0,2.0,2,110,100,5,635454545.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,699000000.0
4.0,2.0,1,115,95,4,4000000.0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,455,460000000.0
2.0,2.0,1,6108,56,3,392927308.0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,289,240000000.0
1.0,2.0,1,4961,436,3,786131828.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,410,390000000.0
2.0,2.0,2,66,66,6,939393939.0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,646,620000000.0
1.0,2.0,2,70,105,1,785714286.0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,160,550000000.0
2.0,2.0,0,56,56,3,482142857.0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,674,270000000.0
