car_model,price,year_model,kms
Renault Duster 4x4,$56.900.000,2019,45000
Renault Duster Oroch Dynamique 4x4 Mecanica,$82.900.000,2022,42344
Renault Duster 1.6 Dynamique,$79.900.000,2023,52000
Renault Duster 1.6 Discovery,$40.000.000,2014,119000
Renault Duster 1.6 Intense Mt,$73.000.000,2022,26642
Renault Duster 2.0 Dynamique 4x2,$62.500.000,2019,78495
Renault Duster 1.3 Intense Mt 4x4,$75.000.000,2021,129314
Renault Duster Dynamique,$56.900.000,2018,90000
Renault Duster 1.6 Intense Mt,$81.900.000,2024,16000
Renault Duster 2.0 Dynamique 4x4,$67.500.000,2019,34878
Renault Duster dynamique 2.0,$52.000.000,2016,57400
Renault Duster Zen 1.6 Mt,$79.990.000,2024,8
Duster Intens 2024 Full Equipo A Credito Financiada,$78.900.000,2024,8900
Renault Duster 1.6 Expression Mecánica,$42.900.000,2013,89000
"Oroch Intens Cvt (aut) 2024, Llévala Con Excelente Precio!!",$110.400.000,2024,0
Renault Duster Intens Mt 1600,$96.990.000,2022,0
Renault Duster 2.0 Dynamique 4x4,$49.800.000,2016,96000
Renault Duster Dinamique,$62.000.000,2020,68000
Renault Duster 1.3 Intense Cvt,$96.000.000,2023,3011
Renault Duster 1.6 Zen,$76.900.000,2022,49000
Renault Duster 2.0 Dynamique 4x2,$63.900.000,2019,72966
Renault Duster 2.0 Dynamique 4x4,$66.900.000,2019,103937
Renault Duster 1.3 T Iconic Cvt,$96.500.000,2024,8486
Renault Duster INTENS,$88.000.000,2023,14847
Renault Duster 2.0 Dynamique 4x4,$75.000.000,2020,61251
Renault Duster Oroch 2.0 Intens,$78.000.000,2022,30089
Renault Duster Oroch 2.0 Intens,$81.000.000,2022,41015
Renault Duster Dynamique Plus Automatica,$37.990.000,2013,145000
Duster 1.6 Zen 4x2 Mt - 2024-llevala Con Excelente Precio!!,$84.900.000,2024,0
Renault Duster outsider 1.3,$87.000.000,2022,13000
Renault Duster 1.6 Intense,$84.000.000,2023,18
Renault Duster 2.0cc Dynamique At,$49.000.000,2015,65000
Renault Duster Oroch 2.0,$62.800.000,2020,82200
Renault Duster Zen,$80.000.000,2024,0
Renault Duster Iconic Mt 4x4-1.3 Turbo-2024 Aprovecha Ya!!,$98.490.000,2024,0
Renault Duster Dynamic Cc1600 Mecanica 4x2 Gasolina 105 Hp,$55.900.000,2018,52700
Renault Duster 2.0 Dynamique 4x2,$52.000.000,2017,138472
Renault Duster 2.0 Dynamique 4x4,$54.300.000,2019,124000
Renault Duster DYNAMIQUE 4X2,$57.990.000,2018,48000
Renault Duster Dakar 2.0 Cc 4*2 Mecánica,$54.800.000,2017,78000
Renault Duster 1.6 Expression Mecánica,$45.900.000,2014,145481
Renault Duster 1.6 Expression Mecánica,$43.500.000,2013,132583
Renault Duster 1.6 Zen,$59.990.000,2021,68300
Renault Duster 1.6 Expression Mecánica,$43.500.000,2013,122253
Renault Duster 2.0 Dynamique 4x2,$48.900.000,2017,49000
Renault Duster 1.6 Expression,$74.000.000,2022,44000
Renault Duster 1.6 Expression Mecánica,$45.000.000,2013,111000
Renault Duster Dynamique intens 2.0 4x4,$72.000.000,2020,79000
Duster Iconic Cvt 1.3 Turbo-2024 R.s Line-personalizada!,$111.900.000,2024,0
Duster Zen Mec,$61.500.000,2019,45288
Oroch Intens 4x4 Outsider 2024 -llévala Con Excelente Precio,$110.700.000,2024,0
Renault Duster Zen 2024,$81.900.000,2024,1
Renault Duster Iconic Cvt 1.3t,$105.400.000,2024,0
Renault Duster Intens 1.6,$96.990.000,2022,0
Renault Duster DYNAMIQUE/INTENS,$73.630.000,2021,54464
Renault Duster 2.0 Dynamique Plus,$49.000.000,2016,95000
Renault Duster 2.0 Dynamique 4x2,$46.000.000,2014,131000
Renault Duster DYNAMIQUE/INTENS,$73.630.000,2021,40646
Renault Duster Zen,$78.860.000,2024,9788
