car_model,price,year_model,kms
Kia Rio 1.25,$40.000.000,2015,64000
Kia Rio 1.4 Vibrant Hb 5 p,$60.000.000,2020,225000
Kia Rio 1.4 4 p 109 hp,$40.000.000,2012,76494
Kia Rio 1.4 5 p,$22.900.000,2007,142000
Kia Rio Zenit,$61.500.000,2019,62559
Kia Rio 1.2 5 p,$42.000.000,2014,120000
Kia Rio 1.4 5 p,$37.000.000,2013,111000
Kia Rio 1.2 4 p,$38.000.000,2014,100000
Kia Rio 1.4 Vibrant Mt,$62.500.000,2021,35000
Kia Rio R Rio R Ub Ex,$41.000.000,2016,67000
Kia Rio 1.25,$55.000.000,2018,45
Kia Rio 1.4 4 p,$37.000.000,2013,125000
Kia Rio 1.6 4 p,$27.700.000,2011,120000
Kia Rio Sedán Río Ub Ex,$42.000.000,2016,132000
Vendo Hermoso Kia Río Ub Ex 2014 Full Equipo,$37.000.000,2014,130000
Kia Rio Sedán,$44.000.000,2013,70100
Kia Rio 1.5 Stylus,$23.999.000,2012,115620
Kia Rio 1.4,$51.800.000,2018,80500
Kia Rio 1.4 1396 Sedan ,$39.000.000,2015,107000
Kia Rio 1.5 Stylus,$27.000.000,2016,116000
"Kia Rio Sedan Zenith, 2023",$84.000.000,Publicado,14
Kia Rio 1.5 Rs Hb,$18.900.000,2005,168000
Kia Rio 1.4 Vibrant Mt,$60.000.000,2020,25500
Kia Rio 1.4 Vibrant Hb 4 p,$66.200.000,2022,20000
Kia Rio Spice Rio Ub Ex,$37.000.000,2014,120000
Kia Rio 1.25,$54.000.000,2017,55807
Kia Rio 1.4 Vibrant Hb 5 p,$61.000.000,2019,28000
Kia Rio 1.4 Vibrant Hb 5 p,$60.000.000,2021,34000
Kia Rio Spice Hb,$44.800.000,2016,67900
Kia Rio 1.4 5 p,$37.500.000,2013,117000
Kia Rio Spice 1.2,$41.900.000,2015,88000
Kia Rio 1.25,$38.500.000,2017,75000
Kia Rio 1.4 5 p,$40.500.000,2013,116255
Kia Rio 1.4 Vibrant Hb 5 p,$61.000.000,2019,57373
Kia Rio 1.4 5 p,$26.500.000,2011,150000
Kia Rio 1.5 Stylus,$29.900.000,2016,85000
Kia Rio 1.25,$55.000.000,2018,55000
Kia Rio 1.5 Stylus,$25.500.000,2014,118700
Kia Rio 1.25 5 p,$41.000.000,2016,99500
Kia Rio 1.4 Vibrant Hb 5 p,$68.000.000,2022,12000
Kia Rio 1.25 5 p,$47.000.000,2016,55000
Kia Rio 1.4 5 p,$51.000.000,2016,80500
Kia Rio All New Zenith Mt,$59.900.000,2018,65436
Kia Rio Sedan Full Equipo,$40.000.000,2013,125000
Kia Rio 1.4,$67.000.000,2022,15000
Kia Rio 1.4 4 p,$44.500.000,2014,92000
Kia Rio 1.4,$68.000.000,2021,69000
Kia Rio 1.4 Vibrant Hb 5 p,$67.900.000,2023,26000
Kia Rio R  1.25 L  Mecánico ,$48.990.000,2016,33600
Kia Rio 1.4 4 p,$39.900.000,2013,101000
Kia Rio Sedán Rio Stylus Ls,$32.900.000,2014,71000
Kia Rio 1.4 5 p,$49.500.000,2016,61000
Vendo Hermoso Kia Rio Ub Ex  Sedan 2015 ,$42.500.000,Publicado,18
Kia Rio 1.5 Stylus,$28.000.000,2016,96800
Kia Rio 1.4,$75.000.000,2023,3600
Kia Rio 1.5 Stylus,$32.000.000,2016,57114
Kia Rio 1.4 Vibrant Mt,$47.000.000,2018,67000
Kia Rio R Vendo Kia Rio Ub Ex ,$49.000.000,2018,67000
Kia Rio 1.4 4 p,$21.900.000,2009,265105
Kia Rio 1.4,$58.000.000,2020,87000
Kia Rio 1.4 5 p,$42.000.000,2014,64200
Kia Rio R Ex Sedan 1.250 ,$49.990.000,2016,33600
Kia Rio 1.4 Vibrant Hb 5 p,$68.000.000,2023,38000
Kia Rio Sedán Vibrant,$68.000.000,2023,9204
Kia Rio 1.4,$52.500.000,2018,85000
Kia Rio 1.4 Vibrant At,$59.000.000,2021,50000
Kia Rio 1.4,$54.000.000,2020,78000
Kia Rio 1.25 4 p,$44.000.000,2016,71
Kia Rio 1.4 Vibrant Hb 4 p,$65.500.000,2022,39000
Kia Rio 1.4,$53.000.000,2019,29000
Kia Rio 1.4,$58.500.000,2018,68000
Kia Rio 1.5 Stylus,$57.000.000,2011,710000
Kia Rio 1.4,$72.000.000,2023,9600
Kia Rio 1.4 Zenith Hb 4 p,$63.800.000,2020,19600
Kia Rio 1.4,$65.000.000,2022,27000
Kia Rio 1.4 Sc Nb,$51.900.000,2018,80000
Kia Sorento 2.4 Lx,$59.999.999,2012,196000
Kia Rio 1.25,$42.900.000,2015,34700
Kia Rio Spice Ub Ex 2014,$42.500.000,2014,106000
Kia Rio Spice Rio ,$37.000.000,2014,126000
Kia Rio Sedán .,$35.800.000,2013,114000
Kia Rio Spice Kia Rio Spice,$36.500.000,2012,85600
Kia Rio 1.4 5 p,$42.000.000,2014,100000
Kia Rio 1.4 4 p,$39.000.000,2014,126000
Kia Rio 1.4 Vibrant Mt,$63.000.000,2021,35000
Kia Rio 1.4 4 p,$37.000.000,2013,160000
Kia Rio 1.4 Vibrant At,$55.000.000,2018,68000
Kia Rio Spice Hatchback- Rio Spice,$38.000.000,2014,91000
Kia Rio 1.4 Zenith Hb 5 p,$71.000.000,2021,25000
Kia Rio 1.2 4 p,$37.000.000,2014,117000
Kia Rio 1.4 Zenith,$76.500.000,2024,8000
Kia Rio 1.6 5 p,$26.000.000,2012,140000
Kia Rio 1.5 Stylus,$85.000.000,2014,373389
Kia Rio 1.25 5 p,$50.000.000,2017,76500
Kia Rio 1.4,$58.000.000,2019,70000
