car_model,price,year_model,kms
Chevrolet Onix 1.4 Ltz Aut,$45.000.000,2020,53000
Chevrolet Onix Premier Turbo 2023,$69.500.000,2023,26000
Chevrolet Onix Ltz ,$44.000.000,2017,84445
Chevrolet Onix 1.0t Automática,$64.800.000,2022,17600
Chevrolet Onix 1.4 Ltz,$42.900.000,2019,31642
Chevrolet Onix 1.0t Automática,$65.000.000,2023,29466
Chevrolet Onix 1.4 Ltz,$44.500.000,2020,35500
Chevrolet Onix 1.4 Ltz Aut,$49.900.000,2020,69500
Chevrolet Onix 1.4 Ltz Aut,$46.000.000,2019,50000
Chevrolet Onix 1.0t Mecánica,$53.000.000,2021,46978
Chevrolet Onix 1.0T Rs Mt,$61.800.000,2023,19000
Chevrolet,$44.490.000,2020,41000
Chevrolet Onix 1.4 Ltz 4 p,$46.500.000,2019,58000
Chevrolet Onix 1.0t Automática,$60.900.000,2021,59000
Chevrolet Onix LT Mecánico,$47.000.000,2020,43000
Chevrolet Onix 1.4 Ltz Aut,$52.000.000,2021,30000
Chevrolet Onix 1.0t Automática,$69.500.000,2023,19000
Chevrolet Onix LT,$51.900.000,2021,75000
Chevrolet Onix 1.0T Rs Mt,$70.000.000,2023,11000
Chevrolet Onix 1.0t Automática,$58.000.000,2021,50000
Chevrolet Onix 1.0t Mecánica,$69.990.000,2023,0
Chevrolet Onix 1.4 Lt,$44.900.000,2019,20200
Chevrolet Onix Ltz,$47.900.000,2020,58000
Chevrolet Onix 1.4 Ltz Aut,$61.900.000,2021,51000
Chevrolet Onix 1.4 Ltz 5 p,$41.500.000,2019,72000
Chevrolet Onix 1.4 Ltz Aut,$53.500.000,2021,66000
Chevrolet Onix 1.4 Lt,$47.000.000,2020,39000
Chevrolet Onix 1.4 Ltz Aut,$45.000.000,2020,72000
Chevrolet Onix 1.0t Mecánica,$58.900.000,2021,16000
Chevrolet Onix 1.0t Automática,$67.900.000,2021,53000
Chevrolet Onix 1.4 Ltz 5 p,$44.800.000,2020,56000
Chevrolet Onix Premier Turbo,$74.900.000,2023,13000
Chevrolet Onix 1.0T Rs Mt,$61.800.000,2023,25000
Chevrolet Onix 1.0T Rs Mt,$60.000.000,2022,18500
Chevrolet Onix 1.0t Automática,$62.000.000,2021,21000
Chevrolet Onix 1.4 Ltz Aut,$52.000.000,2020,28000
Chevrolet Onix 1.4 Ltz Aut,$46.500.000,2020,50000
Chevrolet Onix 1.0T Rs Mt,$59.800.000,2023,18000
Chevrolet Onix 1.4 Ltz,$46.500.000,2019,44945
Chevrolet Onix 1.0T,$92.990.000,2024,0
Chevrolet Onix 1.0T Rs Mt,$86.990.000,2024,0
Chevrolet Onix Hb Premier 1000cc 2024,$92.990.000,2024,0
Chevrolet Onix RS MT 1.0T,$82.990.000,2023,0
Chevrolet Onix 1.4 Ltz Aut,$42.500.000,2018,79300
Chevrolet Onix 1.0t Automática,$73.500.000,2023,8900
Chevrolet Onix 1.0t Automática,$67.500.000,2023,22000
Chevrolet Onix 1.4 Ltz Aut,$50.000.000,2020,50000
Chevrolet Onix 1.4 Ltz Mecánica,$39.700.000,2017,59000
Chevrolet Onix 1.0t Automática,$68.000.000,2023,22700
Chevrolet Onix 1.0T Rs Mt,$66.500.000,2022,14000
Chevrolet Onix,$69.000.000,2022,15200
Chevrolet Onix 1.0t Automática,$56.100.000,2021,37000
Chevrolet Onix 1.0t Automática,$57.500.000,2022,29700
Chevrolet Onix 1.0t Automática,$63.000.000,2021,39000
Chevrolet Onix 1.4 Ltz Aut,$47.000.000,2018,53000
Chevrolet Onix 1.4 Ltz Aut,$47.700.000,2020,36400
Chevrolet Onix 1.0t Automática,$68.000.000,2023,8977
Chevrolet Onix 1.0t Mecánica,$55.500.000,2021,21500
Chevrolet Onix 1.0t Automática,$60.000.000,2021,37000
Chevrolet Onix Turbo Rs Onix Turbo Rs 2021,$55.000.000,2021,39700
Chevrolet Onix 1.0t Automática,$50.000.000,2021,74456
Chevrolet Onix 1.0t Automática,$59.000.000,2022,26000
Chevrolet Onix 1.0t Mecánica,$60.000.000,2022,35900
Chevrolet Onix 1.4 Ltz Aut,$60.000.000,2021,34000
Chevrolet Onix 1.4 Ltz 4 p,$42.900.000,2019,50500
Chevrolet Onix 1.4 Ltz,$47.900.000,2020,50180
Chevrolet Onix 1.0T Rs Mt,$66.000.000,2023,13000
Chevrolet Onix 1.4 Lt,$55.000.000,2020,69200
